# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-5.6369             0.9516              
-5.6393             0.9481              
-5.6418             0.9446              
-5.6442             0.9411              
-5.6467             0.9376              
-5.6491             0.934               
-5.6516             0.9305              
-5.654              0.927               
-5.6564             0.9235              
-5.6588             0.92                
-5.6612             0.9165              
-5.6636             0.9129              
-5.666              0.9094              
-5.6683             0.9059              
-5.6707             0.9024              
-5.673              0.8988              
-5.6754             0.8953              
-5.6777             0.8918              
-5.68               0.8883              
-5.6823             0.8847              
-5.6846             0.8812              
-5.6869             0.8776              
-5.6892             0.8741              
-5.6915             0.8706              
-5.6938             0.867               
-5.696              0.8635              
-5.6983             0.86                
-5.7005             0.8564              
-5.7028             0.8529              
-5.705              0.8493              
-5.7072             0.8458              
-5.7094             0.8422              
-5.7116             0.8387              
-5.7138             0.8351              
-5.716              0.8316              
-5.7182             0.828               
-5.7203             0.8245              
-5.7225             0.8209              
-5.7246             0.8174              
-5.7268             0.8138              
-5.7289             0.8102              
-5.731              0.8067              
-5.7331             0.8031              
-5.7352             0.7995              
-5.7373             0.796               
-5.7394             0.7924              
-5.7415             0.7889              
-5.7436             0.7853              
-5.7456             0.7817              
-5.7477             0.7781              
-5.7497             0.7746              
-5.7518             0.771               
-5.7538             0.7674              
-5.7558             0.7638              
-5.7578             0.7603              
-5.7598             0.7567              
-5.7618             0.7531              
-5.7638             0.7495              
-5.7658             0.746               
-5.7677             0.7424              
-5.7697             0.7388              
-5.7716             0.7352              
-5.7736             0.7316              
-5.7755             0.728               
-5.7774             0.7244              
-5.7793             0.7209              
-5.7812             0.7173              
-5.7831             0.7137              
-5.785              0.7101              
-5.7869             0.7065              
-5.7888             0.7029              
-5.7906             0.6993              
-5.7925             0.6957              
-5.7943             0.6921              
-5.7962             0.6885              
-5.798              0.6849              
-5.7998             0.6813              
-5.8016             0.6777              
-5.8034             0.6741              
-5.8052             0.6705              
-5.807              0.6669              
-5.8088             0.6633              
-5.8105             0.6597              
-5.8123             0.6561              
-5.814              0.6525              
-5.8158             0.6489              
-5.8175             0.6453              
-5.8192             0.6416              
-5.821              0.638               
-5.8227             0.6344              
-5.8244             0.6308              
-5.826              0.6272              
-5.8277             0.6236              
-5.8294             0.62                
-5.8311             0.6163              
-5.8327             0.6127              
-5.8344             0.6091              
-5.836              0.6055              
-5.8376             0.6019              
-5.8393             0.5982              
-5.8409             0.5946              
-5.8425             0.591               
-5.8441             0.5874              
-5.8457             0.5837              
-5.8472             0.5801              
-5.8488             0.5765              
-5.8504             0.5729              
