# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
-4.2042             2.0109              0.3526              
-4.2102             2.0085              0.3525              
-4.2161             2.0061              0.3524              
-4.2221             2.0037              0.3523              
-4.2281             2.0013              0.3522              
-4.234              1.9989              0.3521              
-4.24               1.9965              0.352               
-4.2459             1.994               0.3519              
-4.2518             1.9916              0.3518              
-4.2577             1.9892              0.3516              
-4.2636             1.9867              0.3515              
-4.2695             1.9843              0.3514              
-4.2753             1.9818              0.3513              
-4.2812             1.9794              0.3512              
-4.287              1.9769              0.3511              
-4.2928             1.9744              0.3509              
-4.2987             1.9719              0.3508              
-4.3045             1.9695              0.3507              
-4.3103             1.967               0.3506              
-4.316              1.9645              0.3504              
-4.3218             1.962               0.3503              
-4.3276             1.9595              0.3502              
-4.3333             1.957               0.3501              
-4.339              1.9545              0.3499              
-4.3448             1.9519              0.3498              
-4.3505             1.9494              0.3497              
-4.3562             1.9469              0.3495              
-4.3619             1.9443              0.3494              
-4.3675             1.9418              0.3493              
-4.3732             1.9393              0.3492              
-4.3788             1.9367              0.349               
-4.3845             1.9341              0.3489              
-4.3901             1.9316              0.3487              
-4.3957             1.929               0.3486              
-4.4013             1.9264              0.3485              
-4.4069             1.9239              0.3483              
-4.4125             1.9213              0.3482              
-4.4181             1.9187              0.348               
-4.4236             1.9161              0.3479              
-4.4292             1.9135              0.3478              
-4.4347             1.9109              0.3476              
-4.4402             1.9083              0.3475              
-4.4457             1.9057              0.3473              
-4.4512             1.9031              0.3472              
-4.4567             1.9004              0.347               
-4.4622             1.8978              0.3469              
-4.4677             1.8952              0.3467              
-4.4731             1.8925              0.3466              
-4.4786             1.8899              0.3464              
-4.484              1.8873              0.3463              
-4.4894             1.8846              0.3461              
-4.4948             1.8819              0.346               
-4.5002             1.8793              0.3458              
-4.5056             1.8766              0.3457              
-4.511              1.8739              0.3455              
-4.5163             1.8713              0.3453              
-4.5217             1.8686              0.3452              
-4.527              1.8659              0.345               
-4.5324             1.8632              0.3449              
-4.5377             1.8605              0.3447              
-4.543              1.8578              0.3445              
-4.5483             1.8551              0.3444              
-4.5536             1.8524              0.3442              
-4.5588             1.8497              0.3441              
-4.5641             1.847               0.3439              
-4.5693             1.8443              0.3437              
-4.5746             1.8415              0.3436              
-4.5798             1.8388              0.3434              
-4.585              1.8361              0.3432              
-4.5902             1.8333              0.3431              
-4.5954             1.8306              0.3429              
-4.6006             1.8278              0.3427              
-4.6058             1.8251              0.3425              
-4.6109             1.8223              0.3424              
-4.6161             1.8196              0.3422              
-4.6212             1.8168              0.342               
-4.6264             1.814               0.3418              
-4.6315             1.8112              0.3417              
-4.6366             1.8085              0.3415              
-4.6417             1.8057              0.3413              
-4.6468             1.8029              0.3411              
-4.6518             1.8001              0.341               
-4.6569             1.7973              0.3408              
-4.6619             1.7945              0.3406              
-4.667              1.7917              0.3404              
-4.672              1.7889              0.3402              
-4.677              1.7861              0.34                
-4.682              1.7833              0.3399              
-4.687              1.7804              0.3397              
-4.692              1.7776              0.3395              
-4.697              1.7748              0.3393              
-4.7019             1.7719              0.3391              
-4.7069             1.7691              0.3389              
-4.7118             1.7663              0.3387              
-4.7168             1.7634              0.3386              
-4.7217             1.7606              0.3384              
-4.7266             1.7577              0.3382              
-4.7315             1.7549              0.338               
-4.7364             1.752               0.3378              
-4.7412             1.7491              0.3376              
-4.7461             1.7463              0.3374              
-4.751              1.7434              0.3372              
-4.7558             1.7405              0.337               
-4.7606             1.7376              0.3368              
-4.7655             1.7347              0.3366              
-4.7703             1.7318              0.3364              
-4.7751             1.7289              0.3362              
-4.7799             1.7261              0.336               
-4.7846             1.7231              0.3358              
-4.7894             1.7202              0.3356              
-4.7942             1.7173              0.3354              
-4.7989             1.7144              0.3352              
-4.8036             1.7115              0.335               
-4.8084             1.7086              0.3348              
-4.8131             1.7057              0.3346              
-4.8178             1.7027              0.3344              
-4.8225             1.6998              0.3342              
-4.8272             1.6969              0.334               
-4.8318             1.6939              0.3338              
-4.8365             1.691               0.3336              
